yyyy,price,d12,e12,ret,retx,AAA,BAA,lty,ltr,corpr,tbl,Rfree,d/p,d/y,e/p,d/e,b/m,tms,dfy,dfr,infl,eqis,ntis,svar,cay,i/k,csp,pce,vp,impvar,vrp,govik,lzrt,skew,crdstd,ogap,wtexas,accrul,cfacc,sntm,ndrbl,skvw,tail,fbm,dtoy,dtoat,ygap,rdsp,rsvix,gpce,gip,tchi,house,avgcor,shtint,disag
1871,4.74,0.26,0.40,,,,,,,,,0.049610,0.054852,0.056034,0.084388,0.650000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1872,5.07,0.30,0.43,,,,,,,,,0.074134,0.059172,0.060606,0.084813,0.697674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1873,4.42,0.33,0.46,,,,,,,,,0.091715,0.074661,0.081683,0.104072,0.717391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1874,4.54,0.33,0.46,,,,,,,,,0.058314,0.072687,0.072210,0.101322,0.717391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1875,4.37,0.30,0.36,,,,,,,,,0.045897,0.068650,0.068650,0.082380,0.833333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1876,3.58,0.30,0.28,,,,,,,,,0.043973,0.083799,0.083333,0.078212,1.071429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1877,3.25,0.19,0.30,,,,,,,,,0.042278,0.058462,0.058282,0.092308,0.633333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1878,3.45,0.18,0.31,,,,,,,,,0.038657,0.052174,0.051873,0.089855,0.580645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1879,4.92,0.20,0.38,,,,,,,,,0.040892,0.040650,0.040568,0.077236,0.526316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1880,5.84,0.26,0.49,,,,,,,,,0.043404,0.044521,0.046346,0.083904,0.530612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1881,6.01,0.32,0.44,,,,,,,,,0.042232,0.053245,0.051696,0.073211,0.727273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1882,5.84,0.32,0.43,,,,,,,,,0.049152,0.054795,0.055077,0.073630,0.744186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1883,5.34,0.33,0.40,,,,,,,,,0.049154,0.061798,0.060440,0.074906,0.825000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1884,4.34,0.31,0.31,,,,,,,,,0.043679,0.071429,0.071264,0.071429,1.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1885,5.20,0.24,0.27,,,,,,,,,0.033202,0.046154,0.045802,0.051923,0.888889,,,,,,,,0.023739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1886,5.64,0.22,0.33,,,,,,,,,0.036061,0.039007,0.037997,0.058511,0.666667,,,,,,,,0.016459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1887,5.27,0.25,0.36,,,,,,,,,0.048302,0.047438,0.047170,0.068311,0.694444,,,,,,,,0.018298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1888,5.14,0.23,0.26,,,,,,,,,0.042261,0.044747,0.043893,0.050584,0.884615,,,,,,,,0.012851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1889,5.32,0.22,0.30,,,,,,,,,0.037429,0.041353,0.041121,0.056391,0.733333,,,,,,,,0.006874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1890,4.60,0.22,0.29,,,,,,,,,0.045899,0.047826,0.046709,0.063043,0.758621,,,,,,,,0.022621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1891,5.41,0.22,0.34,,,,,,,,,0.049378,0.040665,0.041905,0.062847,0.647059,,,,,,,,0.016124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1892,5.51,0.24,0.37,,,,,,,,,0.032520,0.043557,0.043088,0.067151,0.648649,,,,,,,,0.010886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1893,4.41,0.25,0.26,,,,,,,,,0.061334,0.056689,0.054705,0.058957,0.961538,,,,,,,,0.054584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1894,4.30,0.21,0.16,,,,,,,,,0.024408,0.048837,0.048387,0.037209,1.312500,,,,,,,,0.016739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1895,4.32,0.19,0.25,,,,,,,,,0.025668,0.043981,0.041394,0.057870,0.760000,,,,,,,,0.028690,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1896,4.22,0.18,0.21,,,,,,,,,0.046288,0.042654,0.041096,0.049763,0.857143,,,,,,,,0.046433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1897,4.75,0.18,0.31,,,,,,,,,0.027567,0.037895,0.038710,0.065263,0.580645,,,,,,,,0.022752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1898,5.65,0.20,0.35,,,,,,,,,0.030143,0.035398,0.037594,0.061947,0.571429,,,,,,,,0.032424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1899,6.02,0.21,0.48,,,,,,,,,0.029507,0.034884,0.032508,0.079734,0.437500,,,,,,,,0.027097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1900,6.87,0.30,0.48,,,,,,,,,0.037767,0.043668,0.046296,0.069869,0.625000,,,,,,,,0.017160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1901,7.95,0.32,0.50,,,,,,,,,0.034588,0.040252,0.039604,0.062893,0.640000,,,,,,,,0.037293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1902,8.05,0.33,0.63,,,,,,,,,0.039023,0.040994,0.040049,0.078261,0.523810,,,,,,,,0.013393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1903,6.57,0.35,0.53,,,,,,,,,0.046701,0.053272,0.055732,0.080670,0.660377,,,,,,,,0.024746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1904,8.25,0.31,0.49,,,,,,,,,0.037016,0.037576,0.037944,0.059394,0.632653,,,,,,,,0.012669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1905,9.54,0.33,0.67,,,,,,,,,0.033000,0.034591,0.035446,0.070231,0.492537,,,,,,,,0.015637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1906,9.84,0.40,0.76,,,,,,,,,0.047180,0.040650,0.040282,0.077236,0.526316,,,,,,,,0.017092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1907,6.57,0.44,0.66,,,,,,,,,0.051266,0.066971,0.070400,0.100457,0.666667,,,,,,,,0.047979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1908,9.03,0.40,0.58,,,,,,,,,0.042991,0.044297,0.045300,0.064230,0.689655,,,,,,,,0.020052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1909,10.30,0.44,0.76,,,,,,,,,0.028697,0.042718,0.043222,0.073786,0.578947,,,,,,,,0.010035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1910,9.05,0.47,0.73,,,,,,,,,0.040689,0.051934,0.050483,0.080663,0.643836,,,,,,,,0.018908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1911,9.11,0.47,0.59,,,,,,,,,0.033204,0.051592,0.051819,0.064764,0.796610,,,,,,,,0.007784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1912,9.38,0.48,0.70,,,,,,,,,0.036837,0.051173,0.049332,0.074627,0.685714,,,,,,,,0.006454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1913,8.04,0.48,0.63,,,,,,,,,0.048444,0.059701,0.059627,0.078358,0.761905,,,,,,,,0.010675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1914,7.35,0.42,0.52,,,,,,,,,0.040743,0.057143,0.054688,0.070748,0.807692,,,,,0.010000,,,0.011601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1915,9.48,0.43,0.88,,,,,,,,,0.028425,0.045359,0.045455,0.092827,0.488636,,,,,0.019802,,,0.019105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1916,9.80,0.56,1.53,,,,,,,,,0.025152,0.057143,0.054848,0.156122,0.366013,,,,,0.126214,,,0.017832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1917,6.80,0.69,1.28,,,,,,,,,0.036474,0.101471,0.098011,0.188235,0.539063,,,,,0.181034,,,0.035562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1918,7.90,0.57,0.99,,,,,,,,,0.048008,0.072152,0.070720,0.125316,0.575758,,,,,0.204380,,,0.015361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1919,8.92,0.53,0.93,,,0.0573,0.0777,0.0490,,,,0.045351,0.059417,0.057671,0.104260,0.569892,,,0.020400,,0.145455,,,0.024541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1920,6.81,0.51,0.80,,,0.0626,0.0856,0.0540,,,0.0588,0.053759,0.074890,0.068182,0.117474,0.637500,,-0.004800,0.023000,,0.026455,,,0.033408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1921,7.31,0.46,0.29,,,0.0550,0.0761,0.0447,,,0.0390,0.053540,0.062927,0.065156,0.039672,1.586207,0.596535,0.005700,0.021100,,-0.108247,,,0.019019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922,8.78,0.51,0.69,,,0.0508,0.0702,0.0432,,,0.0365,0.035564,0.058087,0.057955,0.078588,0.739130,0.472649,0.006700,0.019400,,-0.023121,,,0.014713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1923,8.55,0.53,0.98,,,0.0509,0.0738,0.0435,,,0.0388,0.039625,0.061988,0.064087,0.114620,0.540816,0.540201,0.004700,0.022900,,0.023669,,,0.015697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,10.16,0.55,0.93,,,0.0495,0.0646,0.0396,,,0.0257,0.030409,0.054134,0.057054,0.091535,0.591398,0.458883,0.013900,0.015100,,0.000000,,,0.010722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1925,12.46,0.60,1.25,,,0.0485,0.0615,0.0380,,,0.0351,0.028754,0.048154,0.048940,0.100321,0.480000,0.389378,0.002900,0.013000,,0.034682,,,0.013529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1926,13.49,0.69,1.24,0.122005,0.066031,0.0468,0.0568,0.0354,0.0777,0.0737,0.0307,0.032898,0.051149,0.051997,0.091920,0.556452,0.441476,0.004700,0.010000,-0.003951,-0.011173,,0.050876,0.016486,,,,,,,,,-1.553071,,,0.368690,-0.045455,,,,,0.096306,0.564032,0.695571,0.946190,0.946190,,0.039833,,,0.010779,,,0.228898,,
1927,17.66,0.77,1.11,0.358793,0.294563,0.0446,0.0532,0.0316,0.0894,0.0744,0.0317,0.030390,0.043601,0.044432,0.062854,0.693694,0.374689,-0.000100,0.008600,-0.015012,-0.022599,0.265512,0.076471,0.009419,,,,,,,,,-1.689068,,,0.260221,0.047170,,,,,0.101325,0.473353,0.720284,0.998855,0.998855,,0.059630,,,-0.030097,,,0.217996,,
1928,24.35,0.85,1.38,0.388440,0.333131,0.0461,0.0560,0.0340,0.0008,0.0284,0.0426,0.037847,0.034908,0.035008,0.056674,0.615942,0.259667,-0.008600,0.009900,0.027584,-0.011561,0.497429,0.063069,0.019799,,,,,,,,,-1.940541,,,0.350422,0.045467,,,,,-0.002976,0.411019,0.243572,1.000000,1.000000,,0.062303,,,0.050586,,,0.246349,,
1929,21.45,0.97,1.61,-0.088348,-0.121345,0.0467,0.0595,0.0340,0.0341,0.0327,0.0303,0.046385,0.045221,0.046367,0.075058,0.602484,0.338458,0.003700,0.012800,-0.001369,0.005848,0.720593,0.163522,0.124614,,,,,,,,,-1.796712,,,0.232517,0.000000,,,,,0.015081,0.491607,0.602303,0.651888,0.651888,,0.092711,,,-0.070695,,-0.248477,0.595800,,
1930,15.34,0.98,0.97,-0.263029,-0.295861,0.0452,0.0671,0.0330,0.0464,0.0798,0.0148,0.024314,0.063885,0.059143,0.063233,1.010309,0.554745,0.018200,0.021900,0.033321,-0.063953,0.307847,0.113887,0.066649,,,,,,,,,-1.525002,,,-0.058696,-0.038961,,,,,0.115588,0.519422,0.071657,0.559663,0.431776,,0.079325,,,-0.068041,,-0.259306,0.468641,,
1931,8.12,0.82,0.61,-0.455253,-0.489204,0.0532,0.1042,0.0407,-0.0532,-0.0185,0.0241,0.009682,0.100985,0.086316,0.075123,1.344262,1.170732,0.016600,0.051000,0.034648,-0.093168,0.144665,-0.012921,0.159403,,,,,,,,,-1.326126,,,-0.285267,-0.030769,,,,,0.165739,0.492427,-1.206809,0.400803,0.204371,,0.092151,,,-0.088855,,-0.281164,0.578417,,
1932,6.89,0.50,0.41,-0.088907,-0.148369,0.0459,0.0842,0.0315,0.1685,0.1082,0.0004,0.012620,0.072569,0.076336,0.059507,1.219512,1.442084,0.031100,0.038300,-0.060250,-0.102740,0.037267,-0.005032,0.307452,,,,,,,,,-1.114328,,,-0.470974,0.000000,,,,,0.074596,0.542247,0.229949,0.678756,0.158092,,0.119122,,,0.079435,,-0.305591,0.560773,,
1933,10.10,0.44,0.44,0.532512,0.472272,0.0450,0.0775,0.0336,-0.0007,0.1038,0.0029,0.003726,0.043564,0.044534,0.043564,1.000000,0.829026,0.030700,0.032500,0.104454,0.007634,0.401055,0.006195,0.221817,,,,,,,,,-1.502601,,,-0.352107,0.000000,,,,,0.103717,0.442031,0.124153,0.907978,0.258861,,0.090982,,,-0.132077,,-0.285280,0.536260,,
1934,9.50,0.45,0.49,-0.024842,-0.061886,0.0381,0.0623,0.0293,0.1001,0.1384,0.0023,0.002227,0.047368,0.047170,0.051579,0.918367,0.773741,0.027000,0.024200,0.038284,0.015152,0.071283,0.020813,0.066592,,,,,,,,,-1.410748,,,-0.307478,-0.109505,,,,,0.108915,0.482482,0.608704,0.939498,0.272949,,0.059967,,,0.028668,,-0.248345,0.293760,,
1935,13.43,0.47,0.76,0.456331,0.399691,0.0344,0.0530,0.0276,0.0500,0.0961,0.0015,0.001826,0.034996,0.036293,0.056590,0.618421,0.559911,0.026100,0.018600,0.046188,0.029851,0.066196,0.008689,0.035507,,,,,,,,,-1.633366,,,-0.151035,0.051900,,,,,0.114061,0.465238,0.396007,0.970965,0.378125,,0.079137,,,0.079884,,-0.232309,0.278523,,
1936,17.18,0.72,1.02,0.334178,0.279453,0.0310,0.0453,0.0255,0.0750,0.0674,0.0012,0.001776,0.041909,0.041667,0.059371,0.705882,0.458588,0.024300,0.014300,-0.007515,0.014493,0.120577,0.025225,0.031256,,,,,,,,,-1.728128,,,-0.010712,0.009796,,,,,0.078531,0.403581,0.566485,0.972958,0.471968,,0.060696,,,0.061972,,-0.217684,0.289063,,
1937,10.55,0.80,1.13,-0.359935,-0.394224,0.0321,0.0573,0.0273,0.0023,0.0275,0.0011,0.002928,0.075829,0.072007,0.107109,0.707965,0.707489,0.026200,0.025200,0.025141,0.028571,0.312372,0.031775,0.099633,,,0.002833,,,,,,-1.541381,,,-0.347484,-0.063830,,,,,0.017868,0.449412,0.662708,0.621656,0.317050,,0.068716,,,-0.179633,,-0.213824,0.540019,,
1938,13.21,0.51,0.64,0.293084,0.242537,0.0308,0.0527,0.0252,0.0551,0.0613,0.0003,0.000800,0.038607,0.040063,0.048448,0.796875,0.572039,0.024900,0.021900,0.006208,-0.027778,0.044923,0.005722,0.112143,,,0.004167,,,,,,-1.518621,,,-0.252626,0.000000,,,,,0.083094,0.547498,0.360852,0.976468,0.404964,,0.062128,,,0.095305,,-0.230226,0.340443,,
1939,12.49,0.62,0.90,-0.011042,-0.056695,0.0294,0.0492,0.0226,0.0595,0.0397,0.0004,0.000575,0.049640,0.050820,0.072058,0.688889,0.580705,0.022200,0.019800,-0.019834,0.000000,0.085490,0.002551,0.066420,,,0.006074,,,,,,-1.366703,,,-0.101947,0.041667,,,,,0.087127,0.542516,0.279872,0.961968,0.393499,,0.055309,,,0.115650,,-0.229244,0.250358,,
1940,10.58,0.67,1.05,-0.097792,-0.151700,0.0271,0.0445,0.0194,0.0609,0.0339,0.0002,0.000525,0.063327,0.063148,0.099244,0.638095,0.729048,0.019200,0.017400,-0.026982,0.007143,0.118712,0.012589,0.048050,,,0.004262,,,,,,-1.318858,,,-0.030839,0.064697,,,,,0.030473,0.566764,0.556778,0.858181,0.344020,,0.045138,,,0.059116,,-0.226406,0.319078,,
1941,8.69,0.71,1.16,-0.113972,-0.176768,0.0280,0.0438,0.0204,0.0093,0.0273,0.0033,0.000875,0.081703,0.078022,0.133487,0.612069,0.889510,0.017100,0.015800,0.017996,0.099291,0.114209,0.010343,0.022472,,,0.003447,,,,,,-1.476002,,,0.110232,0.000000,,,,,0.042130,0.513480,0.211594,0.830601,0.291104,,0.058705,,,0.021942,,-0.215565,0.330717,,
1942,9.77,0.59,1.03,0.209609,0.129992,0.0281,0.0428,0.0246,0.0322,0.0260,0.0038,0.003329,0.060389,0.063509,0.105425,0.572816,0.862647,0.020800,0.014700,-0.006197,0.090323,0.123800,0.001812,0.018051,,,0.005101,,,,,,-1.242269,,,0.239918,0.000000,,,,,0.073058,0.552990,0.728173,0.998662,0.313246,,0.044246,,,0.084214,,-0.202837,0.187628,,
1943,11.67,0.61,0.94,0.266659,0.203313,0.0274,0.0382,0.0248,0.0209,0.0283,0.0038,0.003805,0.052271,0.055354,0.080548,0.648936,0.787402,0.021000,0.010800,0.007447,0.029586,0.164306,0.014423,0.016087,,,0.001962,,,,,,-1.402786,,,0.337620,0.000000,,,,,0.104508,0.432768,0.353496,0.931902,0.356508,,0.041782,,,0.043650,,-0.186589,0.306616,,
1944,13.28,0.64,0.93,0.211632,0.151353,0.0270,0.0349,0.0246,0.0282,0.0473,0.0038,0.003805,0.048193,0.049883,0.070030,0.688172,0.743764,0.020800,0.007900,0.019171,0.022989,0.164524,0.019062,0.008400,,,0.003522,,,,,,-1.463287,,,0.292887,0.000000,,,,,0.084779,0.350977,-0.001610,0.997702,0.398589,,0.048094,,,-0.003231,,-0.178526,0.201573,,
1945,17.36,0.66,0.96,0.366645,0.309747,0.0261,0.0310,0.0199,0.1073,0.0408,0.0038,0.003805,0.038018,0.038394,0.055300,0.687500,0.613239,0.016100,0.004900,-0.066552,0.022472,0.211740,0.025525,0.015969,-0.052898,,0.004328,,,,,,-1.838924,,,-0.071394,0.000000,,,,,-0.001591,0.305332,0.030438,0.985139,0.506100,,0.033732,,,-0.110814,,-0.168225,0.252549,,
1946,15.30,0.71,1.06,-0.092796,-0.128429,0.0261,0.0317,0.0212,-0.0008,0.0172,0.0038,0.003805,0.046405,0.048398,0.069281,0.669811,0.692438,0.017400,0.005600,0.018071,0.181319,0.318482,0.036076,0.046371,0.058383,,0.001781,,,,,,-1.747633,,,-0.006116,0.000000,,,,,0.100992,0.320730,0.231059,0.833882,0.464884,,0.036619,,,0.049791,,-0.161187,0.414457,,
1947,15.30,0.84,1.61,0.049091,-0.006500,0.0286,0.0352,0.0243,-0.0263,-0.0234,0.0095,0.004858,0.054902,0.056037,0.105229,0.521739,0.725326,0.014800,0.006600,0.002911,0.088372,0.239630,0.025922,0.019339,0.079056,0.034653,0.004761,,,,,0.041942,-1.587584,,,0.000195,0.028000,,,,,0.044704,0.356385,0.306246,0.969548,0.475274,,0.039228,,-0.012727,0.027326,,-0.162314,0.200286,,
1948,15.20,0.93,2.29,0.052582,-0.008405,0.0279,0.0353,0.0237,0.0339,0.0414,0.0116,0.010138,0.061184,0.063051,0.150658,0.406114,0.840948,0.012100,0.007400,0.007509,0.029915,0.157140,0.015015,0.022100,0.054523,0.034930,0.001633,,,,,0.052106,-1.451783,,,-0.045333,0.000000,,,,,0.069464,0.353012,0.306561,0.917892,0.465147,,0.036424,,0.006484,-0.010445,,-0.170370,0.437022,,
1949,16.76,1.14,2.32,0.180574,0.097705,0.0258,0.0331,0.0209,0.0644,0.0331,0.0110,0.011474,0.068019,0.070984,0.138425,0.491379,0.796429,0.009900,0.007300,-0.031303,-0.020747,0.191869,0.027176,0.012306,0.051693,0.029374,0.004252,,,,,0.062322,-1.444342,,,-0.128634,0.000000,,,,,0.037089,0.341203,0.251098,1.000000,0.526064,,0.037034,,0.003246,-0.004630,,-0.186010,0.170227,,
1950,20.41,1.47,2.84,0.329458,0.230299,0.0267,0.0320,0.0224,0.0005,0.0212,0.0134,0.011726,0.072024,0.075346,0.139147,0.517606,0.722538,0.009000,0.005300,0.020647,0.059322,0.227023,0.031359,0.021461,0.004356,0.034471,0.005663,,,,,0.054807,-1.717517,,,0.041941,0.000000,,,,,0.024387,0.332322,0.119823,0.999788,0.617625,,0.051567,,-0.008451,0.017251,,-0.196438,0.392294,,
1951,23.77,1.41,2.44,0.234251,0.160198,0.0301,0.0361,0.0269,-0.0394,-0.0269,0.0173,0.014629,0.059318,0.061626,0.102650,0.577869,0.721316,0.009600,0.006000,0.012519,0.060000,0.264824,0.036151,0.012182,0.004147,0.032664,0.004147,,,,,0.064030,-1.405860,-1.474896,,-0.002241,0.000000,,,,,0.055197,0.342424,0.216072,0.974165,0.706325,,0.022217,,0.000989,0.006894,-0.519085,-0.198451,0.278641,,
1952,26.57,1.41,2.40,0.189422,0.122797,0.0297,0.0351,0.0279,0.0117,0.0352,0.0209,0.016931,0.053067,0.054949,0.090327,0.587500,0.694073,0.007000,0.005400,0.023516,0.007547,0.202497,0.026536,0.006590,-0.000777,0.032688,0.003446,,,,,0.057511,-1.426028,-0.791406,,0.062469,0.000000,,,,,0.082202,0.359351,0.248996,0.999658,0.765800,,0.027274,,0.009628,0.071574,0.792587,-0.206771,0.209102,,
1953,24.81,1.45,2.51,-0.017075,-0.073017,0.0313,0.0374,0.0274,0.0363,0.0341,0.0160,0.020150,0.058444,0.058562,0.101169,0.577689,0.759701,0.011400,0.006100,-0.002144,0.007491,0.203978,0.024823,0.008279,-0.020183,0.034021,0.002793,-0.043414,,,,0.055077,-1.384899,-0.811956,,-0.031168,0.000000,,,,,0.062024,0.402253,0.275035,0.956125,0.736942,-2.316534,0.029280,,-0.009000,-0.047138,0.549450,-0.216860,0.169243,,
1954,35.98,1.54,2.77,0.526483,0.449937,0.0290,0.0345,0.0272,0.0718,0.0539,0.0115,0.010742,0.042802,0.044977,0.076987,0.555957,0.604120,0.015700,0.005500,-0.017918,-0.007435,0.213197,0.026993,0.008390,0.007232,0.032568,0.002845,-0.041052,,,,0.049131,-1.737582,0.664239,,-0.040418,0.000000,,,,,0.085676,0.337632,0.287380,1.000000,1.000000,-2.588906,0.050162,,0.008883,0.027750,1.055849,-0.226311,0.219704,,
1955,45.48,1.64,3.62,0.312982,0.257908,0.0315,0.0362,0.0295,-0.0128,0.0048,0.0254,0.014855,0.036060,0.036036,0.079595,0.453039,0.509828,0.004100,0.004700,0.017632,0.003745,0.275391,0.025245,0.021620,-0.009340,0.036607,0.000244,0.003609,,,,0.044825,-1.579157,-0.964593,,0.039368,0.000000,,,,,0.085433,0.365675,0.039660,1.000000,1.000000,-2.559969,0.028561,,0.015103,0.023746,1.055849,-0.229559,0.289730,,
1956,46.67,1.74,3.41,0.064274,0.021809,0.0375,0.0437,0.0345,-0.0559,-0.0681,0.0321,0.025540,0.037283,0.038598,0.073066,0.510264,0.544177,0.002400,0.006200,-0.012204,0.029851,0.268489,0.026150,0.013890,-0.017608,0.035574,0.000970,-0.013847,,,,0.045216,-1.609933,0.677435,,0.029876,0.000000,,,,,0.118309,0.353393,0.382186,0.958584,0.958584,-2.651660,0.033507,,0.006301,0.036486,-1.660325,-0.231526,0.329678,,
1957,39.99,1.79,3.37,-0.108148,-0.147014,0.0381,0.0503,0.0323,0.0747,0.0871,0.0304,0.033180,0.044761,0.042905,0.084271,0.531157,0.653676,0.001900,0.012200,0.012471,0.028986,0.227001,0.034873,0.017547,-0.013007,0.034144,0.000668,-0.032194,,,,0.045301,-1.607558,-0.829598,,-0.083278,0.023333,,,,,0.057746,0.346511,0.024971,0.836627,0.836177,-2.505312,0.047657,,0.000437,-0.042145,-2.681880,-0.233369,0.468436,,
1958,55.21,1.75,2.89,0.437417,0.382753,0.0408,0.0485,0.0382,-0.0611,-0.0222,0.0277,0.019151,0.031697,0.033346,0.052346,0.605536,0.511779,0.010500,0.007700,0.038892,0.017606,0.164835,0.023686,0.008489,0.010693,0.030806,0.001586,-0.057796,,,,0.046661,-1.775056,-0.451899,,-0.072867,0.000000,,,,-0.001222,0.158954,0.332365,0.414451,1.000000,1.000000,-2.987761,0.036845,,0.004493,0.045035,1.055849,-0.238086,0.235600,,
1959,59.89,1.83,3.39,0.124008,0.088055,0.0458,0.0528,0.0447,-0.0227,-0.0097,0.0449,0.032434,0.030556,0.031400,0.056604,0.539823,0.457784,-0.000200,0.007000,0.012996,0.017301,0.262440,0.022856,0.008449,0.007977,0.032559,0.000975,-0.005045,,,,0.042663,-1.802250,-1.145185,,-0.029653,0.000000,,,,-0.026319,0.090481,0.324093,0.575141,1.000000,1.000000,-2.917513,0.029527,,0.005716,0.004782,0.781623,-0.240884,0.129065,,
1960,58.11,1.95,3.27,0.005901,-0.028461,0.0435,0.0510,0.0380,0.1379,0.0907,0.0225,0.032224,0.033557,0.035110,0.056273,0.596330,0.550423,0.015500,0.007500,-0.047269,0.013605,0.204156,0.022761,0.010161,0.013139,0.032442,-0.001363,-0.053428,,,,0.043757,-1.737643,0.587012,,-0.134030,0.000000,,,,-0.021545,0.123016,0.341086,0.726610,0.898493,0.898493,-2.915229,0.026918,,0.002763,-0.024104,0.818880,-0.246511,0.181978,,
